Portuguese,Type,English,
mundo,mn,world,
apenas,av,"only, just",
estado,nm,"state, condition",
segundo,n/aj/prp,second,
qualquer,pn,any,
cidade,nf,city,
menos,aj/av,"less, fewer",
governo,nm,government,
partir,v,to leave,
conseguir,v,"to succeed, to be able to",
tanto,aj/av,so much,
lado,nm,side,
chamar,v,to call,
melhor,aj/av,"better, best",
pensar,v,to think,
nome,nm,name,
isto,pn,this,
certo,aj/av,"certain, right",
mulher,nf,"woman, wife",
conhecer,v,to know,
exemplo,nm,example,
existir,v,to exist,
antes,av,before,
tal,aj/av,such,
você,pn,you,
lá,av,there,
durante,prp,during,
terra,nf,"land, earth",
último,aj,last,
desde,prp,since,
contra,prp,against,
aí,av,there,
parecer,v,to seem,
pequeno,aj,small,
quanto,aj/av,how much,
nada,pn,nothing,
português,na,Portuguese,
filho,nm,son,
tornar,v,"to become, to turn into",
água,nf,water,
direito,na,"right, law",
público,na,public,
entrar,v,to enter,
problema,nm,problem,
viver,v,to live,
além,av,in addition to,
pôr,v,"to put, to place",
história,nf,"story, history",
grupo,nm,group,
hora,nf,hour,
sair,v,to leave,
acabar,v,"to finish, to end",
continuar,v,to continue,
tão,av,"so, as",
nunca,av,never,
dentro,av,"within, in",
voltar,v,to return,
tomar,v,"to take, to drink",
obra,nf,"work, project",
facto,nm,fact,
ponto,nm,"point, period",
trabalhar,v,to work,
fim,nm,"purpose, end",
quase,av,almost,parents (PL)
pai,nm,father,
apresentar,v,"to introduce, present",
relação,nf,relation,
criar,v,to create,
considerar,v,to consider,
momento,nm,moment,
receber,v,to receive,
ideia,nf,idea,
política,nf,politics,
vários,aj,"various, many",
lugar,nm,place,
sentir,v,to feel,
livro,nm,book,
nós,pn,"we, us",
mês,nm,month,
alto,na,"tall, high",
força,nf,"force, power",
acontecer,v,to happen,
família,nf,family,
tipo,nm,"type, like",
presidente,nm,president,
mil,num,thousand,
tratar,v,to treat,
enquanto,av,while,
perder,v,to lose,
achar,v,to find,
escrever,v,to write,
quatro,num,four,
usar,v,to use,
único,aj,"only, unique",
nenhum,aj,none,
contar,v,"to tell, to count",
real,na,"real, royal, currency of Brazil",
palavra,nf,word,
embora,cj,"although, even though",
diferente,,,
possível,,,
importante,,,
mostrar,,,
social,,,
ali,,,
claro,,,
mão,,,
logo,,,
rio,,,
seguir,,,
situação,,,
questão,,,
procurar,,,
campo,,,
através,,,
brasileiro,,,
tentar,,,
serviço,,,
lei,,,
criança,,,
próximo,,,
nacional,,,
trazer,,,
geral,,,
frente,,,
aparecer,,,
manter,,,
colocar,,,
conta,,,
pedir,,,
cinco,,,
escola,,,
verdade,,,
corpo,,,
morrer,,,
guerra,,,
música,,,
região,,,
baixo,,,
professor,,,
longo,,,
acção,,,
entender,,,
movimento,,,
branco,,,
processo,,,
ganhar,,,
arte,,,
papel,,,
sim,,,
esperar,,,
fundo,,,
senhor,,,
número,,,
definir,,,
tarde,,,
abrir,,,
sociedade,,,
povo,,,
forte,,,
cabeça,,,
altura,,,
volta,,,
condição,,,
apesar,,,
valor,,,
mãe,,,
servir,,,
pagar,,,
causa,,,
antigo,,,
maneira,,,
humano,,,
sentido,,,
permitir,,,
deus,,,
modo,,,
gente,,,
imagem,,,
época,,,
noite,,,
velho,,,
cair,,,
aquilo,,,
projecto,,,
final,,,
acreditar,,,
jornal,,,
razão,,,
espécie,,,
junto,,,
preciso,,,
século,,,
precisar,,,
ler,,,
